ERROR:root:21.02.2023-09:30:56-Relais: The replied message contains no start or stop bit!
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:36] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:37] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:37] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:37] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:37] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:37] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:37] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:38] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:38] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:38] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:38] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:39] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:39] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:39] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:39] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:39] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:39] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:40] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:40] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:40] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:40] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:41] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:41] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:41] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:41] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:41] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:41] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:42] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:42] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:42] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:42] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:43] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:43] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:43] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:43] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:43] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:43] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:44] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:44] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:44] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:44] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:45] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:45] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:45] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:45] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:45] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:45] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:46] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:46] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:46] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:46] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:47] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:47] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:47] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:47] "POST /Dashboard/Relais HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:47] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:47] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:48] "POST /Dashboard/Relais HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:48] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:48] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:48] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:48] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:48] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:49] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:49] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:49] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:49] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:49] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:50] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:50] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:50] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:50] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:50] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:51] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:51] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:51] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:51] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:51] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:52] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:52] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:52] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:52] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:52] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:53] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:53] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:53] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:53] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:53] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:54] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:54] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:54] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:54] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:54] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:55] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:55] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
